type,Latitude,Longitude,y_proj,x_proj,altitude,time,ltime,Position Format,Map Datum,Map Spheriod
TRACK,0.030664103,-78.86639689,0.030664103,-78.86639689,1167.56,2017/11/08 20:45:19+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030667791,-78.86638172,0.030667791,-78.86638172,1166.99,2017/11/08 20:45:29+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030671563,-78.86637024,0.030671563,-78.86637024,1166.97,2017/11/08 20:45:31+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030678436,-78.8663932,0.030678436,-78.8663932,1166.53,2017/11/08 20:45:43+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030695116,-78.86639798,0.030695116,-78.86639798,1166.31,2017/11/08 20:45:45+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030707689,-78.86640427,0.030707689,-78.86640427,1166.05,2017/11/08 20:45:47+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030766362,-78.86639949,0.030766362,-78.86639949,1165.86,2017/11/08 20:45:59+00,11/8/2017 15:45,UTM UPS,WGS 84,WGS 84
TRACK,0.030816654,-78.86635473,0.030816654,-78.86635473,1163.96,2017/11/08 20:46:41+00,11/8/2017 15:46,UTM UPS,WGS 84,WGS 84
TRACK,0.030858479,-78.86634652,0.030858479,-78.86634652,1163.24,2017/11/08 20:46:47+00,11/8/2017 15:46,UTM UPS,WGS 84,WGS 84
TRACK,0.030874237,-78.8663414,0.030874237,-78.8663414,1162.46,2017/11/08 20:46:49+00,11/8/2017 15:46,UTM UPS,WGS 84,WGS 84
TRACK,0.030886894,-78.86634375,0.030886894,-78.86634375,1162.28,2017/11/08 20:46:51+00,11/8/2017 15:46,UTM UPS,WGS 84,WGS 84
TRACK,0.030940119,-78.86628005,0.030940119,-78.86628005,1162.29,2017/11/08 20:48:51+00,11/8/2017 15:48,UTM UPS,WGS 84,WGS 84
TRACK,0.030951519,-78.86627636,0.030951519,-78.86627636,1162.25,2017/11/08 20:48:54+00,11/8/2017 15:48,UTM UPS,WGS 84,WGS 84
TRACK,0.03096669,-78.86627167,0.03096669,-78.86627167,1162.22,2017/11/08 20:48:56+00,11/8/2017 15:48,UTM UPS,WGS 84,WGS 84
TRACK,0.030981693,-78.86626412,0.030981693,-78.86626412,1161.88,2017/11/08 20:48:58+00,11/8/2017 15:48,UTM UPS,WGS 84,WGS 84
TRACK,0.03100005,-78.86625582,0.03100005,-78.86625582,1161.69,2017/11/08 20:49:00+00,11/8/2017 15:49,UTM UPS,WGS 84,WGS 84
TRACK,0.031013796,-78.86625172,0.031013796,-78.86625172,1161.61,2017/11/08 20:49:02+00,11/8/2017 15:49,UTM UPS,WGS 84,WGS 84
TRACK,0.031033494,-78.86624359,0.031033494,-78.86624359,1161.59,2017/11/08 20:49:04+00,11/8/2017 15:49,UTM UPS,WGS 84,WGS 84
TRACK,0.031051012,-78.86623093,0.031051012,-78.86623093,1161.47,2017/11/08 20:49:06+00,11/8/2017 15:49,UTM UPS,WGS 84,WGS 84
TRACK,0.031072553,-78.86622556,0.031072553,-78.86622556,1161.44,2017/11/08 20:49:08+00,11/8/2017 15:49,UTM UPS,WGS 84,WGS 84
