type,Latitude,Longitude,y_proj,x_proj,altitude,time,ltime,Position Format,Map Datum,Map Spheriod
TRACK,0.030570226,-78.86651156,0.030570226,-78.86651156,1164.38,2017/10/31 13:24:18+00,10/31/2017 8:24,UTM UPS,WGS 84,WGS 84
TRACK,0.030589756,-78.86638289,0.030589756,-78.86638289,1163.77,2017/10/31 13:26:40+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030603837,-78.8663818,0.030603837,-78.8663818,1163.69,2017/10/31 13:26:42+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.03061532,-78.86638214,0.03061532,-78.86638214,1163.65,2017/10/31 13:26:43+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030623283,-78.86637946,0.030623283,-78.86637946,1163.64,2017/10/31 13:26:44+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030638622,-78.86637518,0.030638622,-78.86637518,1163.11,2017/10/31 13:26:46+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030652201,-78.86637074,0.030652201,-78.86637074,1163.1,2017/10/31 13:26:48+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030670138,-78.86636613,0.030670138,-78.86636613,1162.85,2017/10/31 13:26:50+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030681957,-78.86636429,0.030681957,-78.86636429,1162.85,2017/10/31 13:26:51+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030692266,-78.86636294,0.030692266,-78.86636294,1162.62,2017/10/31 13:26:52+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030702408,-78.86636211,0.030702408,-78.86636211,1162.5,2017/10/31 13:26:53+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030711545,-78.86635942,0.030711545,-78.86635942,1162.2,2017/10/31 13:26:54+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030722609,-78.86636361,0.030722609,-78.86636361,1162.15,2017/10/31 13:26:55+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030744905,-78.86636864,0.030744905,-78.86636864,1162.1,2017/10/31 13:26:57+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030752616,-78.86636596,0.030752616,-78.86636596,1161.92,2017/10/31 13:26:58+00,10/31/2017 8:26,UTM UPS,WGS 84,WGS 84
TRACK,0.030765859,-78.86635347,0.030765859,-78.86635347,1161.58,2017/10/31 13:27:00+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03078606,-78.86634442,0.03078606,-78.86634442,1161.2,2017/10/31 13:27:02+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030802237,-78.86633813,0.030802237,-78.86633813,1160.76,2017/10/31 13:27:04+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030829227,-78.86632984,0.030829227,-78.86632984,1160.32,2017/10/31 13:27:06+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.0308563,-78.86632623,0.0308563,-78.86632623,1159.81,2017/10/31 13:27:08+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030868035,-78.8663238,0.030868035,-78.8663238,1159.66,2017/10/31 13:27:09+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030881446,-78.86632246,0.030881446,-78.86632246,1159.52,2017/10/31 13:27:10+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030901898,-78.86631986,0.030901898,-78.86631986,1159.12,2017/10/31 13:27:12+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03091556,-78.86631525,0.03091556,-78.86631525,1158.98,2017/10/31 13:27:14+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030927798,-78.86630838,0.030927798,-78.86630838,1158.4,2017/10/31 13:27:16+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030937688,-78.86629907,0.030937688,-78.86629907,1158.03,2017/10/31 13:27:18+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.030951183,-78.86629597,0.030951183,-78.86629597,1157.88,2017/10/31 13:27:20+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03097415,-78.86628835,0.03097415,-78.86628835,1157.63,2017/10/31 13:27:22+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031000134,-78.86628348,0.031000134,-78.86628348,1157.08,2017/10/31 13:27:24+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031010946,-78.86627812,0.031010946,-78.86627812,1156.99,2017/10/31 13:27:25+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031019831,-78.8662725,0.031019831,-78.8662725,1157.12,2017/10/31 13:27:26+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03102662,-78.86627016,0.03102662,-78.86627016,1157.01,2017/10/31 13:27:27+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031050006,-78.86625641,0.031050006,-78.86625641,1156.77,2017/10/31 13:27:29+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031070877,-78.86625079,0.031070877,-78.86625079,1156.81,2017/10/31 13:27:31+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031090993,-78.86624283,0.031090993,-78.86624283,1156.86,2017/10/31 13:27:33+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03110759,-78.86623747,0.03110759,-78.86623747,1156.85,2017/10/31 13:27:35+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031132903,-78.8662311,0.031132903,-78.8662311,1157.02,2017/10/31 13:27:37+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031148829,-78.86622179,0.031148829,-78.86622179,1156.93,2017/10/31 13:27:39+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03117146,-78.86621182,0.03117146,-78.86621182,1157.27,2017/10/31 13:27:41+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031192415,-78.86620352,0.031192415,-78.86620352,1157.28,2017/10/31 13:27:43+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.03121228,-78.86619841,0.03121228,-78.86619841,1157.39,2017/10/31 13:27:45+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031247735,-78.86619849,0.031247735,-78.86619849,1157.53,2017/10/31 13:27:47+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031278413,-78.8661974,0.031278413,-78.8661974,1157.95,2017/10/31 13:27:49+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
TRACK,0.031300206,-78.86619128,0.031300206,-78.86619128,1157.81,2017/10/31 13:27:51+00,10/31/2017 8:27,UTM UPS,WGS 84,WGS 84
