Identity,Latitude,Longitude,Altitude,Map Datum,,,,
LOG FIRST,0.033181,-78.865971,1115.656494,WGS 84,,,,
LOG CROSSRIVER,0.034714,-78.866237,1071.644043,WGS 84,,,,
LOG DEADEND,0.03459,-78.86644,1063.421021,WGS 84,,,,
LOG BARE,0.034054,-78.866062,1082.222778,WGS 84,,,,
LOG LUIS,0.033903,-78.866024,1090.45874,WGS 84,,,,
LOG FALSE,0.033624,-78.865952,1108.286987,WGS 84,,,,
LOG LANDSLIDE,0.033502,-78.866398,1109.311646,WGS 84,,,,
LOG CREEK,0.033067,-78.866517,1125.618164,WGS 84,,,,
LOG BRUSHY?,0.034146,-78.866124,1074.660156,WGS 84,,,,
LOG BAMBOO,0.033063,-78.86603,1130.634888,WGS 84,,,,
LOG GHOST,0.033789,-78.865882,1101.382446,WGS 84,,,,
LOG BROKEN,0.033611,-78.86585,1101.812134,WGS 84,,,,
LOG WILLS,0.033382,-78.865607,1100.682251,WGS 84,,,,
LOG VEE,0.034151,-78.865993,1079.666748,WGS 84,,,,
LOG PIT,0.034318,-78.86606,1080.035034,WGS 84,,,,
LOG CONFLUENCE,0.034558,-78.866266,1058.043945,WGS 84,,,,
Cocina,0.030612,-78.866532,1156.830933,WGS 84,,,,
Bunkhouse,0.035479,-78.870915,1129.814453,WGS 84,,,,
